"","COE","ESCA","Authority","Acreage","Jurisdiction","Recipient"
"1","L20.3.1","Yes","EDC",43.63,"County","FORA"
"2","L20.3.2","Yes","EDC",35.5,"County","FORA"
"3","E41","Yes","EDC",9.14,"County","FORA"
"4","F1.7.2","Yes","EDC",51.25,"County","FORA"
"5","E38","Yes","EDC",17.7,"Seaside","FORA"
"6","E21b.3","Yes","EDC",31.55,"County","FORA"
"7","E40","Yes","EDC",25.32,"County","FORA"
"8","L20.18","Yes","EDC",7.24,"County","FORA"
"9","E19a.2","","EDC",72.54,"County","FORA"
"10","L2.3","","EDC",24.22,"County","FORA"
"11","L2.4.1","","EDC",2.79,"County","FORA"
"12","E2a","","EDC",63.07,"Marina","FORA"
"13","E2a","","EDC",63.07,"Marina","FORA"
"14","E4.1.2.1","","EDC",9.63,"Marina","FORA"
"15","E4.1.2.2","","EDC",26.24,"Marina","FORA"
"16","E4.1.2.3","","EDC",0.99,"Marina","FORA"
"17","L20.15","","EDC",20.05,"County","FORA"
"18","E19a.1","Yes","EDC",71.43,"County","FORA"
"19","E5a.1","","EDC",30.59,"Marina","FORA"
"20","L5.7","Yes","EDC",73.44,"County","FORA"
"21","L5.7","Yes","EDC",73.44,"County","FORA"
"22","L5.8.1","","EDC",7.05,"Marina","FORA"
"23","E8a.1.2","","EDC",21.22,"County","FORA"
"24","E8a.1.3","","EDC",2.68,"County","FORA"
"25","E8a.1.4","","EDC",30.32,"County","FORA"
"26","E8a.1.5","","EDC",21.53,"County","FORA"
"27","L35.2","","EDC",1.71,"Marina","FORA"
"28","E2e.1","","EDC",6.15,"Marina","FORA"
"29","L20.17.2","","EDC",8.26,"Marina","FORA"
"30","E2d.3.1","","EDC",25.14,"Marina","FORA"
"31","E2d.3.2","","EDC",21.53,"Marina","FORA"
"32","L5.9.2","","EDC",3.22,"Marina","FORA"
"33","E8a.1.1.2","","EDC",85.3,"County","FORA"
"34","E8a.1.1.1","","EDC",143,"County","FORA"
"35","E2e.2","","EDC",0.15,"County","FORA"
"36","L32.1","Yes","EDC",2.95,"County","FORA"
"37","L5.8.2","","EDC",4.86,"Marina","FORA"
"38","L20.17.1","","EDC",8.06,"Marina","FORA"
"39","E8a.2","","EDC",3.8,"County","FORA"
"40","L5.1.1.1","","EDC",12,"Marina","FORA"
"41","L20.11.2","","EDC",7.67,"Marina","FORA"
"42","E5b","","EDC",3.21,"Marina","FORA"
"43","L20.8","Yes","EDC",7.25,"County","FORA"
"44","L20.7.1","","EDC",3.32,"County","FORA"
"45","L20.7.2","","EDC",7.18,"County","FORA"
"46","L20.7.3","","EDC",0.71,"County","FORA"
"47","L20.7.4","","EDC",1.23,"County","FORA"
"48","L20.5.1","Yes","EDC",131.36,"County","FORA"
"49","L20.5.4","Yes","EDC",0.51,"County","FORA"
"50","E15.2","","EDC",28.74,"Seaside","FORA"
"51","E15.1","","EDC",49.25,"Seaside","FORA"
"52","L37","","EDC",4.19,"Seaside","FORA"
"53","L32.4.1.2","","EDC",16.24,"Seaside","FORA"
"54","L19.2","","EDC",3.82,"Seaside","FORA"
"55","L19.3","","EDC",1.23,"Seaside","FORA"
"56","L32.4.2","","EDC",3.98,"County","FORA"
"57","L36","","EDC",1.16,"Seaside","FORA"
"58","L19.4","","EDC",7.36,"Seaside","FORA"
"59","L32.4.1.1","","EDC",38.37,"Seaside","FORA"
